LP;NAZWA;OBRAZ
1.;High Performance 3kW Split 1f;
2.;High Performance 5kW Split 1f;
3.;High Performance 7kW Split 1f;
4.;High Performance 9kW Split 1f;
5.;High Performance 12kW Split 1f;
6.;High Performance 12kW Split 3f;
7.;High Performance 16kW Split 1f;
8.;High Performance 16kW Split 3f;
9.;T-CAP 9kW Split 1f;
10.;T-CAP 9kW Split 3f;
11.;T-CAP 12kW Split 1f;
12.;T-CAP 12kW Split 3f;
13.;T-CAP 16kW Split 3f;
14.;High Performance 3kW AiO 1f;
15.;High Performance 5kW AiO 1f;
16.;High Performance 7kW AiO 1f;
17.;High Performance 9kW AiO 1f;
18.;High Performance 12kW AiO 1f;
19.;High Performance 12kW AiO 3f;
20.;High Performance 16kW AiO 1f;
21.;High Performance 16kW AiO 3f;
22.;T-CAP 9kW AiO 1f;
23.;T-CAP 9kW AiO 3f;
24.;T-CAP 12kW AiO 1f;
25.;T-CAP 12kW AiO 3f;
26.;T-CAP 16kW AiO 3f;
27.;High Performance 5kW Mono 1f;
28.;High Performance 7kW Mono 1f;
29.;High Performance 9kW Mono 1f;
30.;High Performance 12kW Mono 1f;
31.;High Performance 16kW Mono 1f;
32.;T-CAP 9kW Mono 1f;
33.;T-CAP 9kW Mono 3f;
34.;T-CAP 12kW Mono 1f;
35.;T-CAP 12kW Mono 3f;
36.;T-CAP 16kW Mono 3f;
37.;ThermaV 4kW Split 1f;
38.;ThermaV 5kW Split 1f;
39.;ThermaV 6kW Split 1f;
40.;ThermaV 7kW Split 1f;
41.;ThermaV 9kW Split 1f;
42.;ThermaV 12kW Split 1f;
43.;ThermaV 12kW Split 3f;
44.;ThermaV 14kW Split 1f;
45.;ThermaV 14kW Split 3f;
46.;ThermaV 16kW Split 1f;
47.;ThermaV 16kW Split 3f;
48.;ThermaV 4kW IWT 1f;
49.;ThermaV 5kW IWT 1f;
50.;ThermaV 6kW IWT 1f;
51.;ThermaV 7kW IWT 1f;
52.;ThermaV 9kW IWT 1f;
53.;ThermaV 12kW IWT 1f;
54.;ThermaV 12kW IWT 3f;
55.;ThermaV 14kW IWT 1f;
56.;ThermaV 14kW IWT 3f;
57.;ThermaV 16kW IWT 1f;
58.;ThermaV 16kW IWT 3f;
59.;Silence Supreme 5kW 1f;
60.;Silence Supreme 7kW 1f;
61.;Silence Supreme 9kW 1f;
62.;Silence Supreme 9kW 3f;
63.;Silence Supreme 12kW 1f;
64.;Silence Supreme 12kW 3f;
65.;Silence Supreme 14kW 1f;
66.;Silence Supreme 14kW 3f;
67.;Silence Supreme 16kW 1f;
68.;Silence Supreme 16kW 3f;
69.;Altherma 3 R 4kW split 1f;
70.;Altherma 3 R 6kW split 1f;
71.;Altherma 3 R 8kW split 1f;
72.;Altherma 3 R 11kW split 1f;
73.;Altherma 3 R 11kW split 3f;
74.;Altherma 3 R 14kW split 1f;
75.;Altherma 3 R 14kW split 3f;
76.;Altherma 3 R 16kW split 1f;
77.;Altherma 3 R 16kW split 3f;
78.;Altherma 3 R 4kW AiO 1f;
79.;Altherma 3 R 6kW AiO 1f;
80.;Altherma 3 R 8kW AiO 1f;
81.;Altherma 3 R 11kW AiO 1f;
82.;Altherma 3 R 11kW AiO 3f;
83.;Altherma 3 R 14kW AiO 1f;
84.;Altherma 3 R 14kW AiO 3f;
85.;Altherma 3 R 16kW AiO 1f;
86.;Altherma 3 R 16kW AiO 3f;
87.;Altherma 3 R 4kW Mono 1f;
88.;Altherma 3 R 6kW Mono 1f;
89.;Altherma 3 R 8kW Mono 1f;
90.;Altherma 3 R 9kW Mono 1f;
91.;Altherma 3 R 9kW Mono 3f;
92.;Altherma 3 R 11kW Mono 1f;
93.;Altherma 3 R 11kW Mono 3f;
94.;Altherma 3 R 14kW Mono 1f;
95.;Altherma 3 R 14kW Mono 3f;
96.;Altherma 3 R 16kW Mono 1f;
97.;Altherma 3 R 16kW Mono 3f;
