1.;Panasonic;PAW-TD20C1E5;Nierdzewny 200l; 6 918.00 zł ;47%; 3 666.54 zł ;INOX;192;1.8;1270;595;A;BRAK
2.;Panasonic;PAW-TD30C1E5;Nierdzewny 300l ; 8 211.00 zł ;47%; 4 351.83 zł ;INOX;280;1.8;1750;595;A;BRAK
3.;Panasonic;PAW-TD30C1E5-HI;Nierdzewny 300l duża wężownica; 9 170.00 zł ;47%; 4 860.10 zł ;INOX;280;2.35;1750;595;A;BRAK
4.;Panasonic;PAW-TA15C1E5;Standard 150l; 6 681.00 zł ;47%; 3 540.93 zł ;EMALIOWANY;167;1.8;1297;560;B;BRAK
5.;Panasonic;PAW-TA20C1E5STD;Standard 200l; 6 688.00 zł ;47%; 3 544.64 zł ;EMALIOWANY;200;1.8;1340;610;B;BRAK
6.;Panasonic;PAW-TA30C1E5STD;Standard 300l; 8 198.00 zł ;47%; 4 344.94 zł ;EMALIOWANY;290;2.6;1800;610;B;BRAK
7.;Panasonic;PAW-TA30C2E5STD;Standard 300l biwalentny; 9 919.00 zł ;47%; 5 257.07 zł ;EMALIOWANY;290;3,5 + 1,2;1835;670;B;BRAK
8.;Weber;W15 200V;Standard 200l wąski;;; 2 154.47 zł ;EMALIOWANY;200;1.9;;;B;BRAK
9.;Weber;W15 200;Standard 200l;;; 2 284.55 zł ;EMALIOWANY;200;1.9;;;B;BRAK
10.;Weber;W15 300;Standard 300l;;; 2 658.54 zł ;EMALIOWANY;300;3.2;;;B;BRAK
11.;Weber;W16 300;Standard 300l biwalentny;;; 4 200.81 zł ;EMALIOWANY;300;2,6 + 1,2;;;B;BRAK
12.;LG;OSHW-200F;Nierdzewny 200l; 4 940.00 zł ;50%; 2 470.00 zł ;INOX;200;2.3;1350;640;B;2.4
13.;LG;OSHW-300F;Nierdzewny 300l; 5 970.00 zł ;50%; 2 985.00 zł ;INOX;300;3.1;1850;640;B;2.4
14.;LG;OSHW-300FD;Nierdzewny 300l biwalentny; 6 180.00 zł ;50%; 3 090.00 zł ;INOX;300;3,1 + 0,97;1850;640;B;2.4
15.;Daikin;EKHWSP150D3V3;Nierdzewny 150l;;; 4 739.00 zł ;INOX;150;1.05;1000;;B;3
16.;Daikin;EKHSWP180D3V3;Nierdzewny 180l;;; 4 851.00 zł ;INOX;180;1.4;1164;;B;3
17.;Daikin;EKHSWP200D3V3;Nierdzewny 200l;;; 5 068.00 zł ;INOX;200;1.8;1264;;B;3
18.;Daikin;EKHSWP250D3V3;Nierdzewny 250l;;; 5 320.00 zł ;INOX;250;1.8;1535;;B;3
19.;Daikin;EKHSWP300D3V3;Nierdzewny 300l;;; 5 328.00 zł ;INOX;300;1.8;1745;;B;3
20.;Daikin;EKHWP300B;Nierdzewny 300l biwalentny;;; 7 868.00 zł ;INOX;300;5,6+2,66;1646;595;B;BRAK
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
