Month;-20;-17;-16;-15;-14;-13;-12;-11;-10;-9;-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
styczeń;0.00;0.00;0.00;1.00;2.00;2.00;2.00;4.00;17.00;15.00;19.00;24.00;23.00;12.00;27.00;60.00;52.00;44.00;99.00;32.00;23.00;21.00;8.00;9.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
luty;0.00;1.00;1.00;0.00;3.00;2.00;2.00;2.00;7.00;9.00;14.00;16.00;19.00;30.00;48.00;91.00;82.00;25.00;20.00;25.00;17.00;11.00;7.00;6.00;3.00;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
marzec;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;9.00;6.00;10.00;15.00;43.00;57.00;30.00;57.00;53.00;47.00;41.00;36.00;27.00;26.00;12.00;13.00;5.00;2.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
kwiecień;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;8.00;20.00;20.00;27.00;27.00;29.00;36.00;36.00;35.00;51.00;27.00;32.00;23.00;14.00;18.00;8.00;9.00;20.00;17.00;10.00;4.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
maj;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;6.00;11.00;6.00;8.00;22.00;25.00;24.00;22.00;38.00;44.00;35.00;53.00;46.00;40.00;26.00;24.00;27.00;20.00;13.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00
czerwiec;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;2.00;8.00;25.00;46.00;26.00;28.00;34.00;44.00;29.00;42.00;26.00;39.00;19.00;20.00;20.00;21.00;23.00;15.00;3.00;3.00;5.00;0.00
lipiec;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;8.00;7.00;15.00;21.00;13.00;27.00;37.00;45.00;36.00;34.00;36.00;45.00;32.00;36.00;30.00;26.00;12.00;7.00;3.00;10.00;0.00
sierpień;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;7.00;12.00;34.00;29.00;37.00;44.00;59.00;60.00;43.00;41.00;32.00;22.00;21.00;19.00;11.00;8.00;4.00;5.00;0.00
wrzesień;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;4.00;4.00;9.00;10.00;14.00;22.00;27.00;34.00;41.00;37.00;36.00;33.00;42.00;50.00;27.00;18.00;19.00;18.00;9.00;13.00;6.00;3.00;2.00;0.00;0.00;0.00;0.00
październik;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;8.00;31.00;11.00;26.00;20.00;24.00;21.00;21.00;38.00;23.00;23.00;23.00;21.00;24.00;24.00;37.00;28.00;25.00;22.00;9.00;13.00;11.00;6.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
listopad;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;19.00;11.00;15.00;17.00;26.00;24.00;45.00;50.00;56.00;50.00;44.00;43.00;32.00;22.00;9.00;4.00;4.00;2.00;4.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
grudzień;0.00;1.00;0.00;1.00;2.00;4.00;4.00;4.00;13.00;27.00;18.00;19.00;17.00;58.00;44.00;51.00;44.00;20.00;13.00;17.00;60.00;53.00;12.00;7.00;5.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
